txid,timestamp,input_wallet,output_wallet,amount,fee,fee_ratio,script_type,pattern_label,network_observation_count,unique_src_ips,unique_dst_ips,unique_ips,avg_observation_delay_ms,min_observation_delay_ms,max_observation_delay_ms
TX_000027,2026-03-01 06:16:18,wallet_029,wallet_018,0.04433354,0.00016512,0.00372449,P2PKH,normal,3,3,3,6,271.33,102.0,515.0
TX_000028,2026-03-01 06:32:06,wallet_007,wallet_015,0.07755953,0.00011584,0.00149356,P2PKH,normal,4,4,3,7,898.5,624.0,1117.0
TX_000029,2026-03-01 06:35:18,wallet_088,wallet_055,0.44867672,0.00140608,0.00313384,P2PKH,normal,3,2,3,5,897.0,623.0,1229.0
TX_000030,2026-03-01 07:01:34,wallet_077,wallet_060,0.64745768,0.00179338,0.00276988,P2WPKH,normal,1,1,1,2,441.0,441.0,441.0
TX_000457,2026-03-01 07:08:00,wallet_012,wallet_049,206.38801452,0.04252722,0.00020605,P2WPKH,high_value_anomaly,4,4,4,8,1102.75,634.0,1698.0
TX_000031,2026-03-01 07:31:14,wallet_002,wallet_088,0.17401756,0.00068195,0.00391886,P2SH,normal,4,4,4,7,947.5,408.0,1663.0
TX_000032,2026-03-01 07:33:51,wallet_069,wallet_097,0.10559198,0.00019861,0.00188092,P2SH,normal,2,2,2,4,845.5,644.0,1047.0
TX_000033,2026-03-01 08:13:47,wallet_015,wallet_038,0.03652406,0.00013146,0.00359927,P2PKH,normal,5,5,5,10,1008.2,168.0,1625.0
TX_000034,2026-03-01 08:15:15,wallet_093,wallet_034,0.83491644,0.00410957,0.00492213,P2SH,normal,2,2,2,4,659.0,480.0,838.0
TX_000035,2026-03-01 08:22:51,wallet_065,wallet_014,0.91911835,0.00406245,0.00441994,P2PKH,normal,2,2,2,4,741.0,490.0,992.0
TX_000036,2026-03-01 08:43:18,wallet_082,wallet_065,0.07593713,0.00028419,0.00374244,P2PKH,normal,2,2,1,3,869.0,724.0,1014.0
TX_000037,2026-03-01 09:27:06,wallet_098,wallet_021,0.06422287,0.00022616,0.00352149,P2SH,normal,2,2,2,4,137.0,75.0,199.0
TX_000038,2026-03-01 09:52:14,wallet_068,wallet_001,0.20372902,0.00066828,0.00328024,P2PKH,normal,4,4,4,7,1021.75,556.0,1547.0
TX_000039,2026-03-01 10:21:00,wallet_015,wallet_047,1.34248329,0.005,0.00372444,P2WPKH,normal,5,4,5,8,1808.8,659.0,2645.0
TX_000040,2026-03-01 10:34:46,wallet_040,wallet_031,0.33481321,0.00017851,0.00053316,P2WPKH,normal,3,3,3,6,827.33,377.0,1286.0
TX_000041,2026-03-01 10:49:43,wallet_011,wallet_094,0.13829502,0.00039316,0.00284291,P2PKH,normal,2,2,2,4,699.5,480.0,919.0
TX_000042,2026-03-01 10:52:10,wallet_098,wallet_069,0.20741433,0.00084908,0.00409364,P2PKH,normal,4,4,4,7,1137.75,479.0,1722.0
TX_000043,2026-03-01 10:52:58,wallet_061,wallet_071,0.0406604,8.697e-05,0.00213894,P2SH,normal,5,5,5,9,1507.0,728.0,2087.0
TX_000487,2026-03-01 11:03:00,wallet_082,wallet_015,112.29374029,0.0001,8.9e-07,P2WPKH,peeling_chain,1,1,1,2,222.0,222.0,222.0
TX_000488,2026-03-01 11:03:04,wallet_082,wallet_034,5.37600845,0.0001,1.86e-05,P2PKH,peeling_chain,5,5,5,10,1445.0,463.0,2486.0
TX_000044,2026-03-01 11:07:20,wallet_078,wallet_055,0.77957213,0.00381173,0.00488952,P2WPKH,normal,2,2,2,4,866.5,715.0,1018.0
TX_000489,2026-03-01 11:08:00,wallet_015,wallet_004,111.03676124,0.0001,9e-07,P2PKH,peeling_chain,2,2,2,4,752.5,693.0,812.0
TX_000490,2026-03-01 11:08:05,wallet_015,wallet_031,1.25677905,0.0001,7.957e-05,P2WPKH,peeling_chain,5,5,5,10,1241.8,745.0,1956.0
TX_000491,2026-03-01 11:13:00,wallet_004,wallet_095,109.8083349,0.0001,9.1e-07,P2WPKH,peeling_chain,4,4,4,7,1180.75,503.0,1577.0
TX_000492,2026-03-01 11:13:05,wallet_004,wallet_020,1.22822634,0.0001,8.142e-05,P2SH,peeling_chain,5,5,5,9,1632.6,635.0,2797.0
TX_000462,2026-03-01 11:16:00,wallet_048,wallet_046,330.45773385,0.01408191,4.261e-05,P2WPKH,high_value_anomaly,2,2,2,4,932.0,558.0,1306.0
TX_000464,2026-03-01 11:19:00,wallet_060,wallet_049,396.94260946,0.04634417,0.00011675,P2WPKH,high_value_anomaly,5,5,5,9,1009.2,185.0,1642.0
TX_000493,2026-03-01 11:24:00,wallet_095,wallet_036,107.74180284,0.0001,9.3e-07,P2SH,peeling_chain,4,4,3,7,1022.5,403.0,1527.0
TX_000494,2026-03-01 11:24:01,wallet_095,wallet_100,2.06633206,0.0001,4.839e-05,P2PKH,peeling_chain,4,4,4,7,1291.0,631.0,1762.0
TX_000045,2026-03-01 11:55:07,wallet_097,wallet_094,0.11750202,0.00045895,0.00390589,P2SH,normal,4,3,3,6,1380.5,735.0,1908.0
TX_000469,2026-03-01 12:00:20,wallet_034,wallet_056,0.44993321,0.0001,0.00022226,P2SH,high_frequency_anomaly,2,2,2,4,780.5,552.0,1009.0
TX_000470,2026-03-01 12:00:33,wallet_034,wallet_029,0.49868963,0.0001,0.00020053,P2PKH,high_frequency_anomaly,3,3,3,6,567.33,62.0,1072.0
TX_000471,2026-03-01 12:00:51,wallet_034,wallet_065,0.05454561,0.0001,0.00183333,P2PKH,high_frequency_anomaly,4,4,4,8,1569.0,796.0,2514.0
TX_000472,2026-03-01 12:00:56,wallet_034,wallet_020,0.31744856,0.0001,0.00031501,P2WPKH,high_frequency_anomaly,5,5,5,10,1235.0,190.0,2354.0
TX_000473,2026-03-01 12:01:11,wallet_034,wallet_078,0.04112858,0.0001,0.0024314,P2SH,high_frequency_anomaly,2,2,2,4,138.0,79.0,197.0
TX_000474,2026-03-01 12:01:27,wallet_034,wallet_069,0.13319292,0.0001,0.00075079,P2WPKH,high_frequency_anomaly,5,5,4,9,1358.6,496.0,2322.0
TX_000475,2026-03-01 12:01:29,wallet_034,wallet_089,0.36315369,0.0001,0.00027537,P2WPKH,high_frequency_anomaly,3,3,3,6,874.33,592.0,1202.0
TX_000476,2026-03-01 12:01:48,wallet_034,wallet_098,0.14074434,0.0001,0.00071051,P2WPKH,high_frequency_anomaly,3,3,3,5,372.0,148.0,757.0
TX_000477,2026-03-01 12:02:00,wallet_034,wallet_015,0.15381506,0.0001,0.00065013,P2PKH,high_frequency_anomaly,2,2,2,4,629.0,565.0,693.0
TX_000478,2026-03-01 12:02:16,wallet_034,wallet_001,0.4773698,0.0001,0.00020948,P2WPKH,high_frequency_anomaly,3,3,3,6,1173.33,757.0,1421.0
TX_000479,2026-03-01 12:02:26,wallet_034,wallet_066,0.38336148,0.0001,0.00026085,P2WPKH,high_frequency_anomaly,2,2,2,4,819.0,754.0,884.0
TX_000480,2026-03-01 12:02:31,wallet_034,wallet_082,0.15623795,0.0001,0.00064005,P2WPKH,high_frequency_anomaly,4,3,4,7,1226.25,491.0,1673.0
TX_000481,2026-03-01 12:02:49,wallet_034,wallet_079,0.10746644,0.0001,0.00093052,P2SH,high_frequency_anomaly,2,2,1,3,406.0,239.0,573.0
TX_000482,2026-03-01 12:02:56,wallet_034,wallet_071,0.47721488,0.0001,0.00020955,P2WPKH,high_frequency_anomaly,5,5,5,10,1750.6,796.0,2698.0
TX_000483,2026-03-01 12:02:58,wallet_034,wallet_078,0.16883647,0.0001,0.00059229,P2PKH,high_frequency_anomaly,3,3,3,6,871.0,438.0,1366.0
TX_000484,2026-03-01 12:03:03,wallet_034,wallet_048,0.44057372,0.0001,0.00022698,P2SH,high_frequency_anomaly,1,1,1,2,134.0,134.0,134.0
TX_000485,2026-03-01 12:03:12,wallet_034,wallet_008,0.12802708,0.0001,0.00078108,P2WPKH,high_frequency_anomaly,4,4,4,8,1571.25,664.0,2614.0
TX_000486,2026-03-01 12:03:16,wallet_034,wallet_011,0.36863472,0.0001,0.00027127,P2PKH,high_frequency_anomaly,1,1,1,2,172.0,172.0,172.0
TX_000046,2026-03-01 12:23:27,wallet_052,wallet_086,0.03710273,0.00017186,0.004632,P2PKH,normal,2,2,2,4,306.0,127.0,485.0
TX_000047,2026-03-01 12:28:48,wallet_067,wallet_058,0.17297751,0.00016986,0.00098198,P2PKH,normal,5,5,5,10,800.8,92.0,1796.0
TX_000048,2026-03-01 12:32:28,wallet_044,wallet_003,0.13368853,0.00044875,0.00335668,P2PKH,normal,5,5,5,8,1388.8,324.0,2265.0
TX_000049,2026-03-01 13:25:43,wallet_029,wallet_001,0.40727689,0.00023241,0.00057064,P2SH,normal,5,4,5,8,760.2,245.0,1500.0
TX_000050,2026-03-01 14:06:54,wallet_030,wallet_009,0.89567647,0.00411329,0.00459238,P2WPKH,normal,4,4,4,8,873.0,327.0,1472.0
TX_000051,2026-03-01 14:39:37,wallet_010,wallet_066,1.15746765,0.00151561,0.00130942,P2SH,normal,5,5,5,10,1019.8,179.0,1569.0
TX_000455,2026-03-01 15:12:00,wallet_058,wallet_076,406.00977905,0.04359572,0.00010738,P2PKH,high_value_anomaly,2,2,2,4,368.0,135.0,601.0
TX_000052,2026-03-01 15:25:04,wallet_028,wallet_070,0.27545361,0.00025613,0.00092985,P2WPKH,normal,1,1,1,2,205.0,205.0,205.0
TX_000053,2026-03-01 15:32:53,wallet_074,wallet_061,0.16398895,0.00026166,0.0015956,P2PKH,normal,2,2,2,4,512.5,171.0,854.0
TX_000054,2026-03-01 15:44:11,wallet_053,wallet_025,0.14350422,0.00013068,0.00091064,P2SH,normal,4,4,4,8,839.0,354.0,1382.0
TX_000466,2026-03-01 15:48:00,wallet_005,wallet_041,541.28126572,0.00424324,7.84e-06,P2WPKH,high_value_anomaly,4,4,3,7,1026.75,198.0,1949.0
TX_000055,2026-03-01 16:18:25,wallet_046,wallet_055,0.00922156,6.95e-05,0.00753669,P2WPKH,normal,4,4,4,8,1310.0,755.0,1996.0
TX_000056,2026-03-01 16:23:36,wallet_007,wallet_087,0.33777393,0.00116531,0.00344997,P2SH,normal,1,1,1,2,111.0,111.0,111.0
TX_000057,2026-03-01 16:26:19,wallet_008,wallet_052,0.38424442,0.0014595,0.00379836,P2WPKH,normal,4,4,4,8,1523.5,755.0,2133.0
TX_000058,2026-03-01 16:34:17,wallet_014,wallet_032,0.18281637,0.00023991,0.0013123,P2SH,normal,3,3,3,6,1351.33,640.0,2057.0
TX_000059,2026-03-01 16:49:04,wallet_018,wallet_055,0.07195832,0.00012189,0.0016939,P2PKH,normal,3,3,3,6,1089.0,378.0,1751.0
TX_000060,2026-03-01 18:00:35,wallet_010,wallet_057,1.20291826,0.00493302,0.00410088,P2WPKH,normal,3,3,3,5,711.33,168.0,1193.0
TX_000458,2026-03-01 18:13:00,wallet_006,wallet_094,605.36736764,0.00711648,1.176e-05,P2SH,high_value_anomaly,3,2,3,5,1098.67,764.0,1636.0
TX_000061,2026-03-01 19:06:23,wallet_013,wallet_007,0.21821795,0.00076914,0.00352464,P2SH,normal,1,1,1,2,258.0,258.0,258.0
TX_000062,2026-03-01 19:13:42,wallet_002,wallet_012,0.02995061,0.00018895,0.00630872,P2WPKH,normal,4,4,4,8,728.75,174.0,1491.0
TX_000063,2026-03-01 19:20:34,wallet_022,wallet_053,0.2522883,0.00067558,0.00267781,P2PKH,normal,4,4,4,8,1352.0,533.0,2009.0
TX_000064,2026-03-01 19:34:42,wallet_052,wallet_008,0.13277077,0.00017039,0.00128334,P2PKH,normal,5,5,5,9,1276.2,545.0,1952.0
TX_000065,2026-03-01 19:35:55,wallet_050,wallet_034,0.39585984,0.00188677,0.00476626,P2SH,normal,5,5,5,10,1440.2,389.0,2333.0
TX_000066,2026-03-01 19:41:33,wallet_037,wallet_055,0.16351765,0.00062449,0.0038191,P2SH,normal,4,4,3,7,1431.5,604.0,2264.0
TX_000067,2026-03-01 19:44:50,wallet_072,wallet_085,0.33547265,0.00126448,0.00376925,P2PKH,normal,1,1,1,2,350.0,350.0,350.0
TX_000068,2026-03-01 19:50:32,wallet_038,wallet_028,0.2211628,0.0011219,0.00507273,P2SH,normal,5,5,5,9,1240.0,471.0,2112.0
TX_000069,2026-03-01 20:13:00,wallet_070,wallet_008,0.08800133,0.00038133,0.00433323,P2PKH,normal,3,2,3,5,1093.0,651.0,1460.0
TX_000070,2026-03-01 20:39:13,wallet_075,wallet_062,0.56426517,0.00149676,0.00265258,P2WPKH,normal,3,3,3,6,759.33,72.0,1382.0
TX_000071,2026-03-01 20:48:33,wallet_021,wallet_008,1.20471903,0.005,0.00415035,P2PKH,normal,2,2,2,4,1031.0,685.0,1377.0
TX_000072,2026-03-01 21:04:03,wallet_024,wallet_009,1.18624268,0.00362732,0.00305782,P2SH,normal,1,1,1,2,643.0,643.0,643.0
TX_000073,2026-03-01 21:06:06,wallet_031,wallet_052,0.12342532,0.00013485,0.00109256,P2WPKH,normal,3,3,3,6,889.67,384.0,1299.0
TX_000074,2026-03-01 21:10:23,wallet_032,wallet_075,0.6755657,0.00208558,0.00308716,P2SH,normal,4,4,4,8,1093.5,127.0,2059.0
TX_000075,2026-03-01 21:11:22,wallet_054,wallet_085,1.72966188,0.005,0.00289074,P2SH,normal,3,3,3,6,809.33,160.0,1484.0
TX_000076,2026-03-01 21:11:52,wallet_034,wallet_027,0.63654975,0.00220259,0.0034602,P2PKH,normal,1,1,1,2,193.0,193.0,193.0
TX_000077,2026-03-01 21:26:23,wallet_034,wallet_051,0.48621911,0.00041044,0.00084415,P2SH,normal,1,1,1,2,290.0,290.0,290.0
TX_000078,2026-03-01 21:30:22,wallet_059,wallet_041,0.05143439,0.00028928,0.00562425,P2WPKH,normal,5,5,5,9,908.0,479.0,1714.0
TX_000079,2026-03-01 21:54:01,wallet_002,wallet_059,0.46984983,0.00152706,0.0032501,P2SH,normal,1,1,1,2,515.0,515.0,515.0
TX_000080,2026-03-01 21:57:08,wallet_013,wallet_010,0.18394383,0.00055298,0.00300624,P2SH,normal,5,5,5,10,563.4,71.0,979.0
TX_000081,2026-03-01 22:05:38,wallet_017,wallet_045,0.14542511,0.00069223,0.00476004,P2WPKH,normal,2,2,2,4,741.5,652.0,831.0
TX_000082,2026-03-01 22:27:22,wallet_048,wallet_037,0.43489361,0.00042964,0.00098792,P2WPKH,normal,4,4,4,7,796.5,509.0,1026.0
TX_000083,2026-03-01 23:01:31,wallet_091,wallet_039,1.14644268,0.00360079,0.00314084,P2WPKH,normal,1,1,1,2,379.0,379.0,379.0
TX_000084,2026-03-01 23:07:13,wallet_084,wallet_068,4.69733468,0.0006998,0.00014898,P2WPKH,normal,5,5,5,10,1823.0,698.0,2746.0
TX_000085,2026-03-01 23:09:20,wallet_039,wallet_085,0.03963472,7.408e-05,0.00186907,P2WPKH,normal,1,1,1,2,370.0,370.0,370.0
TX_000086,2026-03-01 23:18:05,wallet_034,wallet_015,0.93134333,0.00420341,0.00451328,P2SH,normal,2,2,2,4,825.5,753.0,898.0
TX_000087,2026-03-01 23:44:08,wallet_020,wallet_035,0.46821346,0.00074324,0.0015874,P2PKH,normal,5,5,5,10,860.4,111.0,1603.0
TX_000088,2026-03-01 23:46:03,wallet_044,wallet_027,0.96125549,0.00338434,0.00352075,P2WPKH,normal,3,3,3,6,1375.33,637.0,2129.0
TX_000089,2026-03-01 23:49:44,wallet_065,wallet_063,0.29274479,0.0004395,0.00150131,P2WPKH,normal,2,2,2,4,545.0,196.0,894.0
TX_000090,2026-03-01 23:50:05,wallet_007,wallet_012,0.61685686,0.00202887,0.00328905,P2WPKH,normal,4,4,4,8,1395.0,399.0,2439.0
TX_000091,2026-03-01 23:52:23,wallet_006,wallet_001,0.27521563,0.00052734,0.0019161,P2PKH,normal,2,2,2,4,946.0,574.0,1318.0
TX_000092,2026-03-02 00:16:05,wallet_034,wallet_021,0.05180721,0.00024335,0.00469722,P2SH,normal,3,3,3,6,392.0,96.0,626.0
TX_000093,2026-03-02 00:37:21,wallet_055,wallet_072,0.53869878,0.00012939,0.00024019,P2PKH,normal,4,3,4,7,1103.5,595.0,1804.0
TX_000094,2026-03-02 00:42:55,wallet_089,wallet_020,0.07097719,0.00024685,0.00347788,P2WPKH,normal,3,3,3,6,482.0,225.0,838.0
TX_000095,2026-03-02 00:50:57,wallet_075,wallet_071,0.56212717,0.00051413,0.00091462,P2PKH,normal,2,2,2,4,252.0,128.0,376.0
TX_000096,2026-03-02 01:28:57,wallet_040,wallet_047,1.02231271,0.00465553,0.00455392,P2SH,normal,2,2,2,4,624.0,291.0,957.0
TX_000097,2026-03-02 01:50:33,wallet_006,wallet_046,0.07877423,0.00013897,0.00176416,P2PKH,normal,4,4,4,8,1356.5,525.0,2222.0
TX_000098,2026-03-02 01:59:53,wallet_014,wallet_046,0.26581206,0.00109267,0.00411069,P2WPKH,normal,1,1,1,2,367.0,367.0,367.0
TX_000099,2026-03-02 02:06:12,wallet_053,wallet_080,0.64044519,0.00246604,0.00385051,P2WPKH,normal,3,3,3,6,778.33,128.0,1462.0
TX_000100,2026-03-02 02:26:18,wallet_031,wallet_021,0.16737585,0.00086736,0.00518211,P2WPKH,normal,1,1,1,2,511.0,511.0,511.0
TX_000101,2026-03-02 02:58:08,wallet_053,wallet_004,5.93760938,0.005,0.00084209,P2WPKH,normal,2,2,2,4,382.5,90.0,675.0
TX_000102,2026-03-02 03:11:51,wallet_053,wallet_086,0.2497034,0.00113219,0.00453414,P2WPKH,normal,3,3,3,5,1168.67,446.0,1902.0
TX_000103,2026-03-02 03:16:21,wallet_035,wallet_021,0.07025535,0.00032808,0.00466982,P2PKH,normal,5,5,5,9,1495.8,203.0,2568.0
TX_000104,2026-03-02 03:17:00,wallet_005,wallet_061,0.7208069,0.00090771,0.0012593,P2WPKH,normal,2,2,2,4,364.0,269.0,459.0
TX_000105,2026-03-02 03:37:54,wallet_059,wallet_045,0.19224996,0.00035672,0.0018555,P2SH,normal,1,1,1,2,569.0,569.0,569.0
TX_000503,2026-03-02 04:13:00,wallet_011,wallet_030,82.37887456,0.0001,1.21e-06,P2WPKH,peeling_chain,3,3,3,6,1228.33,536.0,1943.0
TX_000504,2026-03-02 04:13:01,wallet_011,wallet_064,3.14799546,0.0001,3.177e-05,P2WPKH,peeling_chain,3,3,3,6,886.67,751.0,1100.0
TX_000505,2026-03-02 04:23:00,wallet_030,wallet_013,79.46253394,0.0001,1.26e-06,P2WPKH,peeling_chain,3,3,3,5,1114.33,709.0,1393.0
TX_000506,2026-03-02 04:23:02,wallet_030,wallet_087,2.91614062,0.0001,3.429e-05,P2PKH,peeling_chain,3,3,3,6,767.33,480.0,1264.0
TX_000507,2026-03-02 04:29:00,wallet_013,wallet_049,77.19841389,0.0001,1.3e-06,P2WPKH,peeling_chain,3,3,3,6,1007.0,371.0,1701.0
TX_000508,2026-03-02 04:29:05,wallet_013,wallet_052,2.26392005,0.0001,4.417e-05,P2PKH,peeling_chain,2,2,2,4,442.5,316.0,569.0
TX_000509,2026-03-02 04:44:00,wallet_049,wallet_036,74.31218438,0.0001,1.35e-06,P2PKH,peeling_chain,4,4,4,7,1422.25,634.0,2117.0
TX_000510,2026-03-02 04:44:02,wallet_049,wallet_023,2.88602951,0.0001,3.465e-05,P2PKH,peeling_chain,3,3,3,6,814.0,224.0,1499.0
TX_000106,2026-03-02 04:46:05,wallet_030,wallet_029,0.54248708,0.00016715,0.00030812,P2PKH,normal,5,5,5,10,1042.8,184.0,1672.0
TX_000453,2026-03-02 04:58:00,wallet_005,wallet_004,203.06476385,0.01240038,6.107e-05,P2WPKH,high_value_anomaly,4,4,3,7,1158.75,519.0,1758.0
TX_000495,2026-03-02 05:11:00,wallet_090,wallet_055,57.05186623,0.0001,1.75e-06,P2SH,peeling_chain,5,5,5,10,1871.8,733.0,3106.0
TX_000496,2026-03-02 05:11:01,wallet_090,wallet_029,2.61957145,0.0001,3.817e-05,P2WPKH,peeling_chain,5,5,5,10,1486.2,593.0,2782.0
TX_000497,2026-03-02 05:14:00,wallet_055,wallet_044,55.4327057,0.0001,1.8e-06,P2SH,peeling_chain,4,4,3,7,1060.25,324.0,1686.0
TX_000498,2026-03-02 05:14:01,wallet_055,wallet_047,1.61896053,0.0001,6.177e-05,P2WPKH,peeling_chain,3,3,3,5,563.0,343.0,712.0
TX_000499,2026-03-02 05:26:00,wallet_044,wallet_036,54.22811203,0.0001,1.84e-06,P2WPKH,peeling_chain,4,3,3,6,765.25,482.0,1007.0
TX_000500,2026-03-02 05:26:03,wallet_044,wallet_014,1.20439367,0.0001,8.303e-05,P2WPKH,peeling_chain,3,3,3,6,1080.33,737.0,1574.0
TX_000501,2026-03-02 05:29:00,wallet_036,wallet_020,53.26853302,0.0001,1.88e-06,P2PKH,peeling_chain,1,1,1,2,293.0,293.0,293.0
TX_000502,2026-03-02 05:29:02,wallet_036,wallet_012,0.95937901,0.0001,0.00010423,P2SH,peeling_chain,5,5,5,10,1167.8,449.0,2083.0
TX_000107,2026-03-02 05:52:31,wallet_043,wallet_036,0.12964508,0.00061205,0.00472097,P2WPKH,normal,5,5,5,10,1604.0,501.0,2592.0
TX_000108,2026-03-02 06:02:24,wallet_036,wallet_045,0.5669182,0.00188866,0.00333145,P2PKH,normal,1,1,1,2,277.0,277.0,277.0
TX_000109,2026-03-02 06:40:39,wallet_069,wallet_043,0.07344225,0.00039534,0.00538301,P2PKH,normal,4,4,4,7,1264.0,564.0,2091.0
TX_000110,2026-03-02 06:57:05,wallet_034,wallet_023,0.12056595,0.00040505,0.00335957,P2WPKH,normal,1,1,1,2,131.0,131.0,131.0
TX_000468,2026-03-02 07:29:00,wallet_019,wallet_034,253.59335148,0.03750446,0.00014789,P2WPKH,high_value_anomaly,4,4,4,8,1050.25,682.0,1666.0
TX_000111,2026-03-02 07:52:16,wallet_005,wallet_014,0.47525201,0.00148678,0.0031284,P2PKH,normal,5,3,5,8,1709.4,794.0,2817.0
TX_000112,2026-03-02 07:54:28,wallet_041,wallet_056,1.85062786,0.005,0.00270179,P2SH,normal,1,1,1,2,679.0,679.0,679.0
TX_000113,2026-03-02 08:13:43,wallet_050,wallet_074,0.79366661,0.00086858,0.00109439,P2PKH,normal,1,1,1,2,586.0,586.0,586.0
TX_000114,2026-03-02 08:40:53,wallet_056,wallet_001,0.23731499,0.00067832,0.00285831,P2WPKH,normal,4,3,4,7,607.0,94.0,1292.0
TX_000115,2026-03-02 09:04:55,wallet_088,wallet_093,0.07059403,0.00038231,0.00541561,P2SH,normal,4,4,4,7,1008.75,762.0,1427.0
TX_000116,2026-03-02 09:12:02,wallet_026,wallet_047,1.17164123,0.00264326,0.00225603,P2WPKH,normal,2,2,2,4,555.0,342.0,768.0
TX_000117,2026-03-02 09:45:20,wallet_043,wallet_080,0.32153108,0.00057673,0.0017937,P2WPKH,normal,3,3,3,6,850.33,241.0,1488.0
